"5.69","950130","2020-10-29","2020-10-29","의료용품 및 기타 의약 관련제품 제조업"
"3.17","241820","2020-10-29","2020-10-29","의료용품 및 기타 의약 관련제품 제조업"
"3.17","241820","2020-10-29","2020-10-29","의료용품 및 기타 의약 관련제품 제조업"
"3.17","241820","2020-10-29","2020-10-29","의료용품 및 기타 의약 관련제품 제조업"
"1.65","006050","2020-10-30","2020-10-30","유리 및 유리제품 제조업"
"3.87","082920","2020-10-30","2020-10-30","일차전지 및 축전지 제조업"
"-2.46","042370","2020-10-30","2020-10-30","기타 금융업"
"0","010780","2020-10-30","2020-10-30","내화, 비내화 요업제품 제조업"
"2.39","143540","2020-10-30","2020-10-30","특수 목적용 기계 제조업"
"4.65","096040","2020-10-30","2020-10-30","기타 전문 도매업"
"-3.88","241820","2020-10-30","2020-10-30","의료용품 및 기타 의약 관련제품 제조업"
"-2.83","097230","2020-10-30","2020-10-30","토목 건설업"
"4.05","047820","2020-11-02","2020-11-02","영화, 비디오물, 방송프로그램 제작 및 배급업"
"2.36","054780","2020-11-02","2020-11-02","영화, 비디오물, 방송프로그램 제작 및 배급업"
"9.73","182690","2020-11-02","2020-11-02","기계장비 및 관련 물품 도매업"
"0.34","241820","2020-11-02","2020-11-02","의료용품 및 기타 의약 관련제품 제조업"
"1.53","009540","2020-11-02","2020-11-02","선박 및 보트 건조업"
"2.33","267250","2020-11-02","2020-11-02","석유 정제품 제조업"
"0.89","079550","2020-11-03","2020-11-03","무기 및 총포탄 제조업"
"0.14","207940","2020-11-03","2020-11-03","기초 의약물질 및 생물학적 제제 제조업"
"0.67","241820","2020-11-03","2020-11-03","의료용품 및 기타 의약 관련제품 제조업"
"0.91","042700","2020-11-03","2020-11-03","특수 목적용 기계 제조업"
"-0.62","004840","2020-11-04","2020-11-04","고무제품 제조업"
"-0.23","163560","2020-11-04","2020-11-04","고무제품 제조업"
"0.28","229000","2020-11-04","2020-11-04","의료용품 및 기타 의약 관련제품 제조업"
"1.81","042700","2020-11-04","2020-11-04","특수 목적용 기계 제조업"
"1.78","006360","2020-11-05","2020-11-05","건물 건설업"
"1.78","006360","2020-11-05","2020-11-05","건물 건설업"
"0.47","068240","2020-11-05","2020-11-05","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
"2.56","317400","2020-11-05","2020-11-05","부동산 임대 및 공급업"
"1.11","001260","2020-11-06","2020-11-06","토목 건설업"
"1.3","137940","2020-11-06","2020-11-06","측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
"-1.7","187270","2020-11-06","2020-11-06","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
"-2.3","010780","2020-11-06","2020-11-06","내화, 비내화 요업제품 제조업"
"-13.38","019540","2020-11-06","2020-11-06","자동차 신품 부품 제조업"
"-0.73","043290","2020-11-06","2020-11-06",\N
"-0.68","241820","2020-11-06","2020-11-06","의료용품 및 기타 의약 관련제품 제조업"
"2.2","042700","2020-11-06","2020-11-06","특수 목적용 기계 제조업"
"5.99","142280","2020-11-09","2020-11-09","의료용품 및 기타 의약 관련제품 제조업"
"3.59","251630","2020-11-09","2020-11-09","특수 목적용 기계 제조업"
"-2.06","207940","2020-11-09","2020-11-09","기초 의약물질 및 생물학적 제제 제조업"
"8.69","009540","2020-11-09","2020-11-09","선박 및 보트 건조업"
"4.95","267250","2020-11-09","2020-11-09","석유 정제품 제조업"
"-1.85","320000","2020-11-10","2020-11-10","특수 목적용 기계 제조업"
"-0.27","203450","2020-11-11","2020-11-11","통신 및 방송 장비 제조업"
"-0.21","008260","2020-11-12","2020-11-12","1차 철강 제조업"
"-1.73","082920","2020-11-12","2020-11-12","일차전지 및 축전지 제조업"
"0.24","042370","2020-11-12","2020-11-12","기타 금융업"
"0.83","042660","2020-11-13","2020-11-13","선박 및 보트 건조업"
"-0.29","100090","2020-11-13","2020-11-13","1차 철강 제조업"
"1.37","214430","2020-11-13","2020-11-13","전자부품 제조업"
"0.98","040910","2020-11-13","2020-11-13","특수 목적용 기계 제조업"
"1.85","083310","2020-11-13","2020-11-13","특수 목적용 기계 제조업"
"-0.36","079950","2020-11-13","2020-11-13","특수 목적용 기계 제조업"
"-0.27","036930","2020-11-13","2020-11-13","특수 목적용 기계 제조업"
"1.44","005690","2020-11-13","2020-11-13","기초 의약물질 및 생물학적 제제 제조업"
