252,동일고무벨트,163560
253,동일산업,4890
254,동일제강,2690
255,동화약품,20
256,두산,150
257,두산밥캣,241560
258,두산에너빌리티,34020
259,두산퓨얼셀,336260
260,두올,16740
261,드림텍,192650
262,디씨엠,24090
263,디아이,3160
264,디아이동일,1530
265,디아이씨,92200
266,디앤디플랫폼리츠,377190
267,디와이,13570
268,디와이파워,210540
269,락앤락,115390
270,롯데관광개발,32350
271,롯데렌탈,89860
272,롯데리츠,330590
273,롯데손해보험,400
274,롯데쇼핑,23530
275,롯데정밀화학,4000
276,롯데정보통신,286940
277,롯데제과,280360
278,롯데지주,4990
279,롯데칠성음료,5300
280,롯데케미칼,11170
281,롯데하이마트,71840
282,마니커,27740
283,마스턴프리미어리츠,357430
284,만도,204320
285,만호제강,1080
286,맥쿼리인프라,88980
287,맵스리얼티1,94800
288,메리츠금융지주,138040
289,메리츠증권,8560
290,메리츠화재,60
291,메타랩스,90370
292,명문제약,17180
293,명신산업,9900
294,모나리자,12690
295,모나미,5360
296,모두투어리츠,204210
297,모토닉,9680
298,무림P&P,9580
299,무림페이퍼,9200
300,무학,33920
301,문배철강,8420
302,미래산업,25560
303,미래아이앤지,7120
304,미래에셋글로벌리츠,396690
305,미래에셋맵스리츠,357250
306,미래에셋생명,85620
307,미래에셋증권,6800
308,미원상사,2840
309,미원에스씨,268280
310,미원홀딩스,107590
311,미원화학,134380
312,미창석유공업,3650
313,바다로19호,155900
314,방림,3610
315,백광산업,1340
316,백산,35150
317,범양건영,2410
318,베트남개발1,96300
319,벽산,7210
320,보락,2760
321,보령,3850
322,보해양조,890
323,부광약품,3000
324,부국증권,1270
325,부국철강,26940
326,부산산업,11390
327,부산주공,5030
328,비비안,2070
329,비상교육,100220
330,비케이탑스,30790
331,빙그레,5180
332,사조대림,3960
333,사조동아원,8040
334,사조산업,7160
335,사조씨푸드,14710
336,사조오양,6090
337,삼부토건,1470
338,삼성SDI,6400
339,삼성공조,6660
340,삼성물산,28260
341,삼성바이오로직스,207940
342,삼성생명,32830
343,삼성에스디에스,18260
344,삼성엔지니어링,28050
345,삼성전기,9150
346,삼성전자,5930
347,삼성제약,1360
348,삼성중공업,10140
349,삼성증권,16360
350,삼성출판사,68290
351,삼성카드,29780
352,삼성화재해상보험,810
353,삼아알미늄,6110
354,삼양사,145990
355,삼양식품,3230
356,삼양통상,2170
357,삼양패키징,272550
358,삼양홀딩스,70
359,삼영무역,2810
360,삼영전자공업,5680
361,삼영화학공업,3720
362,삼원강재,23000
363,삼익THK,4380
364,삼익악기,2450
365,삼일씨엔에스,4440
366,삼일제약,520
367,삼정펄프,9770
368,삼진제약,5500
369,삼천리,4690
370,삼호개발,10960
371,삼화왕관,4450
372,삼화전기,9470
373,삼화전자공업,11230
374,삼화콘덴서공업,1820
375,삼화페인트공업,390
376,상상인증권,1290
377,상신브레이크,41650
378,새론오토모티브,75180
379,샘표,7540
380,샘표식품,248170
381,서연,7860
382,서연이화,200880
383,서울도시가스,17390
384,서울식품공업,4410
385,서원,21050
386,서흥,8490
387,선도전기,7610
388,선진,136490
389,성문전자,14910
390,성보화학,3080
391,성신양회,4980
392,성안,11300
393,성창기업지주,180
394,세기상사,2420
395,세방,4360
396,세방전지,4490
397,세아베스틸지주,1430
398,세아제강,306200
399,세아제강지주,3030
400,세아특수강,19440
401,세아홀딩스,58650
402,세우글로벌,13000
403,세원이앤씨,91090
404,세원정공,21820
405,세이브존I&C,67830
406,세종공업,33530
407,세진중공업,75580
408,세하,27970
