,회사명,종목코드
1181,조이시티,67000
1182,좋은사람들,33340
1183,주성엔지니어링,36930
1184,줌인터넷,239340
1185,중앙디앤엠,51980
1186,중앙백신,72020
1187,중앙에너비스,440
1188,지나인제약,78650
1189,지노믹트리,228760
1190,지놈앤컴퍼니,314130
1191,지니너스,389030
1192,지니뮤직,43610
1193,지니언스,263860
1194,지니틱스,303030
1195,지더블유바이텍,36180
1196,지란지교시큐리티,208350
1197,지씨셀,144510
1198,지아이텍,382480
1199,지앤비에스엔지니어링,382800
1200,지어소프트,51160
1201,지에스이,53050
1202,지엔씨에너지,119850
1203,지엔원에너지,270520
1204,지엔코,65060
1205,지엘팜텍,204840
1206,지오엘리먼트,311320
1207,지투파워,388050
1208,지티지웰니스,219750
1209,진로발효,18120
1210,진매트릭스,109820
1211,진바이오텍,86060
1212,진성티이씨,36890
1213,진시스템,363250
1214,진양제약,7370
1215,차바이오텍,85660
1216,차백신연구소,261780
1217,참존글로벌,158310
1218,참좋은여행,94850
1219,창해에탄올,4650
1220,천보,278280
1221,청담글로벌,362320
1222,체리부로,66360
1223,초록뱀미디어,47820
1224,초록뱀컴퍼니,52300
1225,칩스앤미디어,94360
1226,카나리아바이오,16790
1227,카스,16920
1228,카이노스메드,284620
1229,카카오게임즈,293490
1230,카페24,42000
1231,캐리소프트,317530
1232,캐스텍코리아,71850
1233,캠시스,50110
1234,커머스마이너,223310
1235,컬러레이,900310
1236,컴투스,78340
1237,컴투스홀딩스,63080
1238,컴퍼니케이,307930
1239,케스피온,79190
1240,케어랩스,263700
1241,케어젠,214370
1242,케이디켐,221980
1243,케이비제20호스팩,342550
1244,케이비제21호스팩,424140
1245,케이사인,192250
1246,케이씨에스,115500
1247,케이씨티,89150
1248,케이씨피드,25880
1249,케이아이엔엑스,93320
1250,케이에스피,73010
1251,케이엔더블유,105330
1252,케이엔제이,272110
1253,케이엘넷,39420
1254,케이엠,83550
1255,케이엠더블유,32500
1256,케이엠제약,225430
1257,케이옥션,102370
1258,케이티알파,36030
1259,케이프,64820
1260,케이프이에스제4호,347140
1261,케이피에스,256940
1262,케이피에프,24880
1263,케이피엠테크,42040
1264,케이피티유,54410
1265,케일럼,258610
1266,켄코아에어로스페이스,274090
1267,켐온,217600
1268,켐트로닉스,89010
1269,켐트로스,220260
1270,코나아이,52400
1271,코난테크놀로지,402030
1272,코닉오토메이션,391710
1273,코다코,46070
1274,코데즈컴바인,47770
1275,코드네이처,78940
1276,코디,80530
1277,코디엠,224060
1278,코렌텍,104540
1279,코리아나,27050
1280,코리아센터,290510
1281,코리아에셋투자증권,190650
1282,코리아에스이,101670
1283,코리아에프티,123410
1284,코맥스,36690
1285,코메론,49430
1286,코미코,183300
1287,코미팜,41960
1288,코세스,89890
1289,코센,9730
1290,코스나인,82660
1291,코스맥스엔비티,222040
1292,코스메카코리아,241710
1293,코스온,69110
1294,코아스템,166480
1295,코아시아,45970
1296,코아시아옵틱스,196450
1297,코엔텍,29960
1298,코오롱생명과학,102940
1299,코오롱티슈진,950160
1300,코원플레이,56000
1301,코웰패션,33290
1302,코위버,56360
1303,코윈테크,282880
1304,코이즈,121850
1305,코콤,15710
1306,코텍,52330
1307,코퍼스코리아,322780
1308,코프라,126600
1309,콜마비앤에이치,200130
1310,쿠콘,294570
1311,퀀타매트릭스,317690
1312,큐라클,365270
1313,큐렉소,60280
1314,큐로컴,40350
1315,큐로홀딩스,51780
1316,큐리언트,115180
1317,큐브엔터,182360
1318,큐에스아이,66310
1319,큐캐피탈,16600
1320,크레버스,96240
1321,크로바하이텍,43590
1322,크루셜텍,114120
1323,크리스에프앤씨,110790
1324,크리스탈신소재,900250
1325,크리스탈지노믹스,83790
1326,크린앤사이언스,45520
1327,클라우드에어,36170
1328,클래시스,214150
1329,클리노믹스,352770
1330,클리오,237880
1331,키네마스터,139670
1332,키움제6호스팩,413600
1333,키이스트,54780
1334,타이거일렉,219130
1335,탑엔지니어링,65130
1336,탑코미디어,134580
1337,태광,23160
1338,태성,323280
1339,태양,53620
1340,태웅,44490
1341,태웅로직스,124560
1342,테고사이언스,191420
1343,테라사이언스,73640
1344,테라셈,182690
1345,테라젠이텍스,66700
1346,테스,95610
1347,테크윙,89030
1348,텔레칩스,54450
1349,텔레필드,91440
1350,텔콘RF제약,200230
1351,토박스코리아,215480
1352,토비스,51360
1353,토탈소프트,45340
1354,톱텍,108230
1355,투비소프트,79970
1356,툴젠,199800
1357,트루윈,105550
1358,트윔,290090
1359,특수건설,26150
1360,티라유텍,322180
1361,티로보틱스,117730
1362,티비씨,33830
1363,티사이언티픽,57680
1364,티씨케이,64760
1365,티앤알바이오팹,246710
1366,티앤엘,340570
1367,티에스넥스젠,43220
1368,티에스아이,277880
1369,티에스이,131290
1370,티엘비,356860
1371,티엘아이,62860
1372,티움바이오,321550
1373,티케이케미칼,104480
1374,티플랙스,81150
1375,티피씨글로벌,130740
1376,팅크웨어,84730
1377,파나진,46210
1378,파나케이아,58530
1379,파라다이스,34230
1380,파라텍,33540
1381,파루,43200
1382,파마리서치,214450
1383,파멥신,208340
1384,파버나인,177830
1385,파세코,37070
1386,파수,150900
1387,파워넷,37030
1388,파워로직스,47310
1389,파이버프로,368770
1390,파이오링크,170790
1391,파인디앤씨,49120
1392,파인디지털,38950
1393,파인테크닉스,106240
1394,파인텍,131760
1395,파커스,65690
1396,파크시스템스,140860
1397,파트론,91700
1398,판타지오,32800
1399,팜스빌,318010
1400,팜스토리,27710
1401,패션플랫폼,225590
1402,팬스타엔터프라이즈,54300
1403,팬엔터테인먼트,68050
1404,팬젠,222110
1405,펄어비스,263750
1406,펌텍코리아,251970
1407,펩트론,87010
1408,포메탈,119500
1409,포바이포,389140
1410,포스코 ICT,22100
1411,포스코엠텍,9520
1412,포시에스,189690
1413,포인트모바일,318020
1414,포인트엔지니어링,256630
1415,포커스에이치엔에스,331380
1416,폴라리스세원,234100
1417,폴라리스오피스,41020
1418,폴라리스우노,114630
1419,푸드나무,290720
1420,푸드웰,5670
1421,푸른기술,94940
1422,푸른저축은행,7330
1423,풍강,93380
1424,풍국주정,23900
1425,풍원정밀,371950
1426,퓨런티어,370090
1427,퓨쳐켐,220100
1428,프럼파스트,35200
1429,프레스티지바이오로직스,334970
1430,프로스테믹스,203690
1431,프로이천,321260
1432,프로텍,53610
1433,프롬바이오,377220
1434,프리시젼바이오,335810
1435,프리엠스,53160
1436,플래스크,41590
1437,플래티어,367000
1438,플랜티넷,75130
1439,플레이디,237820
1440,플레이위드,23770
1441,플리토,300080
1442,피델릭스,32580
1443,피씨디렉트,51380
1444,피씨엘,241820
1445,피앤씨테크,237750
1446,피에스엠씨,24850
1447,피에스케이,319660
1448,피에스케이홀딩스,31980
1449,피에스텍,2230
1450,피에이치씨,57880
1451,피에이치에이,43370
1452,피엔에이치테크,239890
1453,피엔케이피부임상연구센타,347740
1454,피엔티,137400
1455,피제이메탈,128660
1456,피제이전자,6140
1457,피코그램,376180
1458,피플바이오,304840
1459,피피아이,62970
1460,픽셀플러스,87600
1461,필옵틱스,161580
1462,핌스,347770
1463,핑거,163730
1464,하나금융14호스팩,332710
1465,하나금융15호스팩,341160
1466,하나금융16호스팩,343510
1467,하나금융19호스팩,388220
1468,하나금융20호스팩,400560
1469,하나금융21호스팩,406760
1470,하나금융22호스팩,418170
1471,하나기술,299030
1472,하나마이크론,67310
1473,하나머스트7호스팩,372290
1474,하나머티리얼즈,166090
1475,하림,136480
1476,하림지주,3380
1477,하이딥,365590
1478,하이로닉,149980
1479,하이록코리아,13030
1480,하이비젼시스템,126700
1481,하이소닉,106080
1482,하이제6호스팩,377400
1483,하이제7호스팩,400840
1484,하이즈항공,221840
1485,하이텍팜,106190
1486,하인크코리아,373200
1487,하츠,66130
1488,한국가구,4590
1489,한국경제TV,39340
1490,한국기업평가,34950
1491,한국맥널티,222980
1492,한국비엔씨,256840
1493,한국선재,25550
1494,한국알콜,17890
1495,한국유니온제약,80720
1496,한국전자금융,63570
1497,한국전자인증,41460
1498,한국정밀기계,101680
1499,한국정보공학,39740
1500,한국정보인증,53300
1501,한국정보통신,25770
1502,한국제10호스팩,409570
1503,한국캐피탈,23760
1504,한국컴퓨터,54040
1505,한국코퍼레이션,50540
1506,한국큐빅,21650
1507,한국테크놀로지,53590
1508,한국파마,32300
1509,한국팩키지,37230
1510,한글과컴퓨터,30520
1511,한네트,52600
1512,한독크린텍,256150
1513,한라IMS,92460
1514,한빛소프트,47080
1515,한솔인티큐브,70590
1516,한송네오텍,226440
1517,한스바이오메드,42520
1518,한양디지텍,78350
1519,한양이엔지,45100
1520,한일네트웍스,46110
1521,한일단조,24740
1522,한일사료,5860
1523,한일진공,123840
1524,한일화학,7770
1525,한창바이오텍,43090
1526,한창산업,79170
1527,한컴MDS,86960
1528,한컴위드,54920
1529,한탑,2680
1530,한화플러스제2호스팩,386580
1531,해성산업,34810
1532,해성옵틱스,76610
1533,해성티피씨,59270
1534,핸디소프트,220180
1535,헝셩그룹,900270
1536,헥토이노베이션,214180
1537,헥토파이낸셜,234340
1538,헬릭스미스,84990
1539,현대공업,170030
1540,현대무벡스,319400
1541,현대바이오,48410
1542,현대바이오랜드,52260
1543,현대에버다임,41440
1544,현대에이치티,39010
1545,현대이지웰,90850
1546,현우산업,92300
1547,협진,138360
1548,형지I&C,11080
1549,홈센타홀딩스,60560
1550,홈캐스트,64240
1551,화성밸브,39610
1552,화신정공,126640
1553,화일약품,61250
1554,효성오앤비,97870
1555,휴네시온,290270
1556,휴럼,353190
1557,휴림로봇,90710
1558,휴마시스,205470
1559,휴맥스,115160
1560,휴맥스홀딩스,28080
1561,휴먼엔,32860
1562,휴메딕스,200670
1563,휴비츠,65510
1564,휴센텍,215090
1565,휴엠앤씨,263920
1566,휴온스,243070
1567,휴온스글로벌,84110
1568,휴젤,145020
1569,흥구석유,24060
1570,흥국,10240
1571,흥국에프엔비,189980
1572,희림,37440
1573,힘스,238490
