,회사명,종목코드
274,동성화인텍,33500
275,동신건설,25950
276,동아엘텍,88130
277,동아화성,41930
278,동양에스텍,60380
279,동양이엔피,79960
280,동양파일,228340
281,동우팜투테이블,88910
282,동운아나텍,94170
283,동원개발,13120
284,동일금속,109860
285,동일기연,32960
286,동일철강,23790
287,동진쎄미켐,5290
288,동화기업,25900
289,두산테스나,131970
290,듀오백,73190
291,드래곤플라이,30350
292,드림시큐리티,203650
293,드림씨아이에스,223250
294,드림어스컴퍼니,60570
295,디딤,217620
296,디모아,16670
297,디바이스이엔지,187870
298,디비금융스팩10호,404950
299,디스플레이텍,66670
300,디아이티,110990
301,디아크,78590
302,디알젬,263690
303,디알텍,214680
304,디앤씨미디어,263720
305,디어유,376300
306,디에스앤엘,141020
307,디에스케이,109740
308,디에이테크놀로지,196490
309,디에이피,66900
310,디엑스앤브이엑스,180400
311,디엔에이링크,127120
312,디엔에프,92070
313,디오,39840
314,디와이디,219550
315,디와이씨,310870
316,디와이피엔에프,104460
317,디이엔티,79810
318,디젠스,113810
319,디지아이,43360
320,디지캡,197140
321,디지털대성,68930
322,디지틀조선,33130
323,디케이락,105740
324,디케이앤디,263020
325,디케이티,290550
326,디티앤씨,187220
327,딜리,131180
328,딥노이드,315640
329,라닉스,317120
330,라온시큐어,42510
331,라온테크,232680
332,라온피플,300120
333,라이온켐텍,171120
334,라이트론,69540
335,라이프시맨틱스,347700
336,라파스,214260
337,래몽래인,200350
338,램테크놀러지,171010
339,랩지노믹스,84650
340,러셀,217500
341,레고켐바이오,141080
342,레드로버,60300
343,레드캡투어,38390
344,레몬,294140
345,레이,228670
346,레이언스,228850
347,레이저쎌,412350
348,레이크머티리얼즈,281740
349,레인보우로보틱스,277810
350,로보로보,215100
351,로보스타,90360
352,로보티즈,108490
353,로스웰,900260
354,로지시스,67730
355,로체시스템즈,71280
356,루닛,328130
357,루멘스,38060
358,루트로닉,85370
359,룽투코리아,60240
360,리노공업,58470
361,리노스,39980
362,리더스 기술투자,19570
363,리더스코스메틱,16100
364,리드코프,12700
365,리메드,302550
366,리파인,377450
367,린드먼아시아,277070
368,링네트,42500
369,링크제니시스,219420
370,마니커에프앤지,195500
371,마이더스AI,222810
372,마이크로디지탈,305090
373,마이크로컨텍솔,98120
374,마이크로프랜드,147760
375,마인즈랩,377480
376,마크로젠,38290
377,매일유업,267980
378,매일홀딩스,5990
379,매직마이크로,127160
380,매커스,93520
381,맥스트,377030
382,머큐리,100590
383,멀티캠퍼스,67280
384,메가스터디,72870
385,메가스터디교육,215200
386,메가엠디,133750
387,메드팩토,235980
388,메디아나,41920
389,메디앙스,14100
390,메디콕스,54180
391,메디톡스,86900
392,메디포스트,78160
393,메디프론,65650
394,메이슨캐피탈,21880
395,메지온,140410
396,메카로,241770
397,메타바이오메드,59210
398,멕아이씨에스,58110
399,멜파스,96640
400,명성티엔에스,257370
401,모다이노칩,80420
402,모두투어,80160
403,모바일리더,100030
404,모바일어플라이언스,87260
405,모베이스,101330
406,모베이스전자,12860
407,모비데이즈,363260
408,모비릭스,348030
409,모비스,250060
410,모아데이타,288980
411,모아텍,33200
412,모트렉스,118990
413,모헨즈,6920
414,무림SP,1810
415,미디어젠,279600
416,미래나노텍,95500
417,미래생명자원,218150
418,미래에셋대우스팩 5호,353490
419,미래에셋대우스팩3호,328380
420,미래에셋벤처투자,100790
421,미래에셋비전스팩1호,412930
422,미래컴퍼니,49950
423,미스터블루,207760
424,미코,59090
425,미코바이오메드,214610
426,미투온,201490
427,미투젠,950190
428,바디텍메드,206640
429,바른손,18700
430,바른손이앤에이,35620
431,바른전자,64520
432,바이넥스,53030
433,바이브컴퍼니,301300
434,바이오니아,64550
435,바이오다인,314930
436,바이오로그디바이스,208710
437,바이오솔루션,86820
438,바이오스마트,38460
439,바이오에프디엔씨,251120
440,바이오톡스텍,86040
441,바이오플러스,99430
442,바이온,32980
443,바이옵트로,222160
444,바이젠셀,308080
445,바텍,43150
446,박셀바이오,323990
447,배럴,267790
448,백금T&A,46310
449,버킷스튜디오,66410
450,범한퓨얼셀,382900
451,베노홀딩스,206400
452,베뉴지,19010
453,베셀,177350
454,베스파,299910
455,보광산업,225530
456,보라티알,250000
457,보로노이,310210
458,보성파워텍,6910
459,본느,226340
460,부방,14470
461,부스타,8470
462,뷰노,338220
463,뷰웍스,100120
464,브랜드엑스코퍼레이션,337930
465,브레인즈컴퍼니,99390
466,브리지텍,64480
467,브릿지바이오,288330
468,브이씨,365900
469,브이원텍,251630
470,브이티지엠피,18290
471,블루베리 NFT,44480
472,블루콤,33560
473,블리츠웨이,369370
474,비나텍,126340
475,비덴트,121800
476,비디아이,148140
477,비보존 헬스케어,82800
478,비비씨,318410
479,비씨엔씨,146320
480,비씨월드제약,200780
481,비아트론,141000
482,비에이치,90460
483,비에이치아이,83650
484,비엘,142760
485,비엘팜텍,65170
486,비엠티,86670
487,비올,335890
488,비즈니스온,138580
489,비츠로셀,82920
490,비츠로시스,54220
491,비츠로테크,42370
492,비케이홀딩스,50090
493,비투엔,307870
494,비트나인,357880
495,비트컴퓨터,32850
496,비플라이소프트,148780
497,비피도,238200
498,빅솔론,93190
499,빅텍,65450
500,빛샘전자,72950
501,사람인에이치알,143240
502,삼강엠앤티,100090
503,삼기,122350
504,삼륭물산,14970
505,삼목에스폼,18310
506,삼보모터스,53700
507,삼보산업,9620
508,삼보판지,23600
509,삼성머스트스팩5호,380320
510,삼성스팩4호,377630
511,삼성스팩6호,425290
512,삼아제약,9300
513,삼양옵틱스,225190
514,삼영에스앤씨,361670
515,삼영엠텍,54540
516,삼영이엔씨,65570
517,삼일,32280
518,삼일기업공사,2290
519,삼지전자,37460
520,삼진,32750
521,삼진엘앤디,54090
522,삼천당제약,250
523,삼천리자전거,24950
524,삼표시멘트,38500
525,삼현철강,17480
526,삼화네트웍스,46390
527,상보,27580
528,상상인,38540
529,상상인인더스트리,101000
530,상상인제3호스팩,415580
531,상신이디피,91580
532,상신전자,263810
533,상아프론테크,89980
534,상지카일룸,42940
535,새로닉스,42600
536,새빗켐,107600
537,샘씨엔에스,252990
538,서남,294630
539,서린바이오,38070
540,서부T&D,6730
541,서산,79650
542,서암기계공업,100660
543,서연탑메탈,19770
544,서울리거,43710
545,서울바이오시스,92190
546,서울반도체,46890
547,서울옥션,63170
548,서울전자통신,27040
549,서울제약,18680
550,서원인텍,93920
551,서전기전,189860
552,서진시스템,178320
553,서진오토모티브,122690
554,서플러스글로벌,140070
555,서한,11370
556,서호전기,65710
557,서희건설,35890
558,석경에이티,357550
559,선광,3100
560,선익시스템,171090
561,선진뷰티사이언스,86710
562,성광벤드,14620
563,성도이엔지,37350
564,성우전자,81580
