"-1.08","084370","2019-10-07","2019-10-07"
"-0.7","000480","2019-10-07","2019-10-07"
"-0.7","000480","2019-10-07","2019-10-07"
"-0.31","034810","2019-10-07","2019-10-07"
"1.72","148140","2019-10-08","2019-10-08"
"2.83","010140","2019-10-08","2019-10-08"
"5.2","282880","2019-10-08","2019-10-08"
"-0.13","010140","2019-10-10","2019-10-10"
"0.93","259630","2019-10-10","2019-10-10"
"-1.14","036460","2019-10-10","2019-10-10"
"1.19","009540","2019-10-10","2019-10-10"
"1.19","009540","2019-10-10","2019-10-10"
"0.87","267250","2019-10-10","2019-10-10"
"0.87","267250","2019-10-10","2019-10-10"
"-0.67","042660","2019-10-11","2019-10-11"
"-0.67","064480","2019-10-11","2019-10-11"
"11.07","217190","2019-10-11","2019-10-11"
"1.12","017940","2019-10-14","2019-10-14"
"10.25","013360","2019-10-14","2019-10-14"
"6.65","095610","2019-10-14","2019-10-14"
"-0.43","035890","2019-10-15","2019-10-15"
"1.43","099320","2019-10-15","2019-10-15"
"2.37","086520","2019-10-15","2019-10-15"
"0","012630","2019-10-16","2019-10-16"
"1.72","294870","2019-10-16","2019-10-16"
"-0.8","001260","2019-10-16","2019-10-16"
"-4.27","087260","2019-10-16","2019-10-16"
"-1.96","002020","2019-10-17","2019-10-17"
"-1.09","003070","2019-10-17","2019-10-17"
"-1.71","267850","2019-10-18","2019-10-18"
"-1.8","054780","2019-10-18","2019-10-18"
"-1.11","083450","2019-10-21","2019-10-21"
"-0.36","024910","2019-10-21","2019-10-21"
"-4.67","186230","2019-10-21","2019-10-21"
"-1.59","029480","2019-10-21","2019-10-21"
"4.62","082920","2019-10-21","2019-10-21"
"0.91","042370","2019-10-21","2019-10-21"
"-0.15","112610","2019-10-22","2019-10-22"
"1.72","160600","2019-10-23","2019-10-23"
"1.96","082740","2019-10-24","2019-10-24"
"3.39","002150","2019-10-24","2019-10-24"
"3.39","002150","2019-10-24","2019-10-24"
"3.39","002150","2019-10-24","2019-10-24"
"-1.53","064480","2019-10-24","2019-10-24"
"0.4","136510","2019-10-24","2019-10-24"
"1.03","086390","2019-10-24","2019-10-24"
"0.95","017960","2019-10-24","2019-10-24"
"0","012630","2019-10-25","2019-10-25"
"-1.44","294870","2019-10-25","2019-10-25"
"-1.85","002150","2019-10-25","2019-10-25"
"2.05","100220","2019-10-25","2019-10-25"
"0.22","011930","2019-10-25","2019-10-25"
"-1.49","000720","2019-10-25","2019-10-25"
"2.03","068270","2019-10-28","2019-10-28"
"0.78","281820","2019-10-29","2019-10-29"
"-2.91","256940","2019-10-29","2019-10-29"
"-0.17","014790","2019-10-29","2019-10-29"
"-2.37","238490","2019-10-29","2019-10-29"
"0.98","006360","2019-10-30","2019-10-30"
"-1.53","005090","2019-10-30","2019-10-30"
"0.78","173130","2019-10-30","2019-10-30"
"0","012630","2019-10-31","2019-10-31"
"0.16","294870","2019-10-31","2019-10-31"
"1.22","001470","2019-10-31","2019-10-31"
"3.32","112610","2019-10-31","2019-10-31"
"0.77","173130","2019-10-31","2019-10-31"
"1","001840","2019-10-31","2019-10-31"
"-0.92","126700","2019-10-31","2019-10-31"
"1.39","097230","2019-10-31","2019-10-31"
